Date|Active Users|Favorites|Total Visits|Voice Chat|Camera|Date Created|Last Updated|Server Size|Genre|Title|Creator|Age Recommendation|gameID|Category|URL
2024-11-02 23:06:29|28271|3782660|380.9M+|Not Supported|Not Supported|5/11/2024|10/28/2024|8|Simulation|Gym League 🎃|1v2 Studios|All Ages|17450551531|Trending Music Experiences|https://www.roblox.com/games/17450551531/Gym-League?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=a3919ae2-73d3-4499-a6d3-dc18ba62f568&gameSetTargetId=216&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=54&page=gamesPage&placeId=17450551531&playContext=gamesPage&position=32&sortPos=5&universeId=5972059550
2024-11-02 23:06:33|1172|99008|52.8M+|Not Supported|Not Supported|9/20/2024|11/2/2024|20|Entertainment|The Haunt|Roblox Presents|All Ages|82695214392018|Trending Music Experiences|https://www.roblox.com/games/82695214392018/The-Haunt?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=a3919ae2-73d3-4499-a6d3-dc18ba62f568&gameSetTargetId=216&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=54&page=gamesPage&placeId=82695214392018&playContext=gamesPage&position=19&sortPos=5&universeId=6574756904
2024-11-02 23:06:37|19257|6434425|1.0B+|Not Supported|Not Supported|7/16/2019|11/2/2024|20|RPG|🍁SZN 38 Dragon Adventures 🐉 Fantasy Pets ✨|Sonar Studios|All Ages|3475397644|Trending Music Experiences|https://www.roblox.com/games/3475397644/SZN-38-Dragon-Adventures-Fantasy-Pets?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=a3919ae2-73d3-4499-a6d3-dc18ba62f568&gameSetTargetId=216&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=54&page=gamesPage&placeId=3475397644&playContext=gamesPage&position=16&sortPos=5&universeId=1235188606
2024-11-02 23:06:42|16023|898438|1.0B+|Not Supported|Not Supported|4/15/2023|11/2/2024|9|Simulation|🎃 Arm Wrestle Simulator|Kubo Games|All Ages|13127800756|Trending Music Experiences|https://www.roblox.com/games/13127800756/Arm-Wrestle-Simulator?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=a3919ae2-73d3-4499-a6d3-dc18ba62f568&gameSetTargetId=216&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=54&page=gamesPage&placeId=13127800756&playContext=gamesPage&position=34&sortPos=5&universeId=4582358979
2024-11-02 23:06:46|2135|183185|21.7M+|Not Supported|Not Supported|1/11/2024|11/2/2024|24|Strategy|Pixel Tower Defense|Red Spyder|All Ages|15939808257|Trending Music Experiences|https://www.roblox.com/games/15939808257/Pixel-Tower-Defense?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=a3919ae2-73d3-4499-a6d3-dc18ba62f568&gameSetTargetId=216&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=54&page=gamesPage&placeId=15939808257&playContext=gamesPage&position=45&sortPos=5&universeId=5511527237
2024-11-02 23:06:50|20706|3069543|2.8B+|Not Supported|Not Supported|2/5/2022|10/29/2024|28|Social|PLS DONATE 💸|@haz3mn|All Ages|8737602449|Trending Music Experiences|https://www.roblox.com/games/8737602449/PLS-DONATE?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=a3919ae2-73d3-4499-a6d3-dc18ba62f568&gameSetTargetId=216&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=54&page=gamesPage&placeId=8737602449&playContext=gamesPage&position=14&sortPos=5&universeId=3317679266
2024-11-02 23:06:54|29201|282516|509.6M+|Not Supported|Not Supported|3/25/2023|11/1/2024|26|Strategy|[👻EVENT + ⚔️CLAN WARS + x4] Anime Last Stand|[B:S] ALS Team|All Ages|12886143095|Trending Music Experiences|https://www.roblox.com/games/12886143095/EVENT-CLAN-WARS-x4-Anime-Last-Stand?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=a3919ae2-73d3-4499-a6d3-dc18ba62f568&gameSetTargetId=216&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=54&page=gamesPage&placeId=12886143095&playContext=gamesPage&position=13&sortPos=5&universeId=4509896324
2024-11-02 23:07:03|9882|5785823|1.3B+|Not Supported|Not Supported|1/2/2012|10/8/2024|6|Simulation|Theme Park Tycoon 2|@Den_S|All Ages|69184822|Trending Music Experiences|https://www.roblox.com/games/69184822/Theme-Park-Tycoon-2?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=a3919ae2-73d3-4499-a6d3-dc18ba62f568&gameSetTargetId=216&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=54&page=gamesPage&placeId=69184822&playContext=gamesPage&position=50&sortPos=5&universeId=31970568
2024-11-02 23:07:07|31405|239683|404.6M+|Not Supported|Not Supported|1/3/2024|11/2/2024|20|Strategy|Five Nights TD [COUNTDOWN⌛]|Hyper TD|All Ages|15846919378|Trending Music Experiences|https://www.roblox.com/games/15846919378/Five-Nights-TD-COUNTDOWN?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=a3919ae2-73d3-4499-a6d3-dc18ba62f568&gameSetTargetId=216&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=54&page=gamesPage&placeId=15846919378&playContext=gamesPage&position=11&sortPos=5&universeId=5479908441
2024-11-02 23:07:15|7176|5999288|8.8B+|Not Supported|Not Supported|1/23/2021|10/16/2024|12|Simulation|Pet Simulator X! 🐾|BIG Games Pets|All Ages|6284583030|Trending Music Experiences|https://www.roblox.com/games/6284583030/Pet-Simulator-X?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=a3919ae2-73d3-4499-a6d3-dc18ba62f568&gameSetTargetId=216&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=54&page=gamesPage&placeId=6284583030&playContext=gamesPage&position=53&sortPos=5&universeId=2316994223
2024-11-02 23:07:20|10896|1303904|112.1M+|Not Supported|Not Supported|12/21/2023|11/2/2024|45|Roleplay & Avatar Sim|NEW🌟 Horse Life 🐎|Sonar Studios|All Ages|15696848933|Trending Music Experiences|https://www.roblox.com/games/15696848933/NEW-Horse-Life?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=a3919ae2-73d3-4499-a6d3-dc18ba62f568&gameSetTargetId=216&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=54&page=gamesPage&placeId=15696848933&playContext=gamesPage&position=27&sortPos=5&universeId=5422546686
2024-11-02 23:07:35|6778|509487|428.4M+|Not Supported|Not Supported|6/23/2021|10/31/2024|25|Roleplay & Avatar Sim|🎃🍂 Wild Horse Islands|Happy Acres|All Ages|6989310863|Trending Music Experiences|https://www.roblox.com/games/6989310863/Wild-Horse-Islands?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=a3919ae2-73d3-4499-a6d3-dc18ba62f568&gameSetTargetId=216&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=54&page=gamesPage&placeId=6989310863&playContext=gamesPage&position=40&sortPos=5&universeId=2682938349
2024-11-02 23:07:43|311104|3260760|4.0B+|Not Supported|Not Supported|10/18/2023|11/2/2024|13|Roleplay & Avatar Sim|Dress To Impress 💜|Dress To Impress Group|All Ages|15101393044|Trending Music Experiences|https://www.roblox.com/games/15101393044/Dress-To-Impress?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=a3919ae2-73d3-4499-a6d3-dc18ba62f568&gameSetTargetId=216&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=54&page=gamesPage&placeId=15101393044&playContext=gamesPage&position=0&sortPos=5&universeId=5203828273
